backbone,epoch,tau_mean,tau_min,tau_max,L_magnitude,L_progress
Uni-Mol,47,-0.054449,-0.070034,-0.038864,35.145,-217.491
Uni-Mol,48,-0.046670,-0.062128,-0.031213,37.492,-212.534
Uni-Mol,49,-0.047232,-0.061522,-0.032942,34.694,-219.585
Uni-Mol,50,-0.051994,-0.066767,-0.037222,32.2279,-194.667
Uni-Mol,51,-0.051302,-0.066477,-0.036127,31.4212,-192.24
Uni-Mol,52,-0.050306,-0.066538,-0.034074,31.7136,-204.605
Uni-Mol,53,-0.043467,-0.059812,-0.027122,31.2261,-188.447
Uni-Mol,54,-0.041901,-0.058915,-0.024888,30.5124,-186.459
Uni-Mol,55,-0.042641,-0.059406,-0.025875,30.4744,-171.666
Uni-Mol,56,-0.039449,-0.056266,-0.022632,30.4711,-181.447
Uni-Mol,57,-0.038808,-0.055657,-0.021958,33.4176,-186.891
Uni-Mol,58,-0.038960,-0.055807,-0.022113,30.0191,-188.544
Uni-Mol,59,-0.038617,-0.055520,-0.021713,31.0291,-177.507
Uni-Mol,60,-0.038710,-0.055602,-0.021819,30.9358,-198.967
Uni-Mol,61,-0.051365,-0.068895,-0.033834,28.1695,-187.367
Uni-Mol,62,-0.044823,-0.060177,-0.029468,29.9428,-181.542
Uni-Mol,63,-0.040214,-0.055015,-0.025414,27.9379,-168.22
Uni-Mol,64,-0.033720,-0.051770,-0.015669,28.7568,-170.212
Uni-Mol,65,-0.045710,-0.064226,-0.027193,27.9966,-169.109
Uni-Mol,66,-0.050680,-0.070310,-0.031050,28.7587,-181.115
Uni-Mol,67,-0.039293,-0.060415,-0.018171,27.5428,-174.255
